id,type,label,definition,source_basis,lawyer_use,examples,status
IT_TAXPAYER,ProtectedInfoType,Nodokļu maksātāju ziņas,"VID/NIS/EDS vai citās nodokļu sistēmās esoša informācija par nodokļu maksātājiem, iesniegumiem, atzinumiem, dokumentu projektiem.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-28/2023; SKK-8/2017; 2025 VID spriedums,active
IT_CRIMPROC,ProtectedInfoType,Kriminālprocesa ziņas,"Ziņas par aizturēšanu, saukšanu pie kriminālatbildības, drošības līdzekli, meklēšanu vai procesuālām darbībām.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-191/2022; SKK-124/2022,active
IT_CONVICTIONS,ProtectedInfoType,Sodāmības ziņas,"Informācija par personas sodāmību, spriedumu, sodu un sprieduma spēkā stāšanos.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-313/2022; SKK-J-221/2020,active
IT_PERSONAL_DATA,ProtectedInfoType,Fiziskas personas dati,"Personas statuss, valstiskā piederība, deklarētā adrese, dzimšanas un mainītie personas dati, personas kodi.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-587/2022,active
IT_PRIVATE_LIFE,ProtectedInfoType,Privātā dzīve/laulība,"Informācija par personas laulību, ģimenes vai privātās dzīves apstākļiem.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-216/2023,active
IT_CASE_MATERIALS,ProtectedInfoType,Krimināllietas materiāli,"Fototabulas, lietas materiālu fotoattēli, izmeklēšanas materiāli un to fragmenti.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-576/2022,active
IT_COURT_RULINGS,ProtectedInfoType,Tiesu nolēmumi,"Nepublicēti vai neanonimizēti tiesu nolēmumi, īpaši slēgtos procesos.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-720/2019,active
IT_VEHICLE_OWNER,ProtectedInfoType,Transportlīdzekļa īpašnieks,"Ziņas par automašīnas īpašnieku, uzrādītāju tehniskajā apskatē, adresi, personas kodu.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-25/2019; SKK-289/2013; SKK-268/2013,active
IT_BORDER_CUSTOMS,ProtectedInfoType,Robežkontrole/muita/izceļošana,"Robežsargu maiņas uzdevumi, personas pārbaude vilcienā, izsēdināšana, prāmju pasažieru saraksti.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-147/2017; SKK-270/2014; SKK-368/2019,active
IT_OPERATIONAL,ProtectedInfoType,Operatīvās darbības ziņas,Ziņas par iespējamiem operatīvās darbības pasākumiem vai tiesībaizsardzības iestāžu rīcībā esošām ziņām.,Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-[AS]/2014,active
IT_CONTROL_PLAN,ProtectedInfoType,Kontroles/pārbaudes plāni,Ziņas par plānotu tirdzniecības vai citas likumības kontroles laiku un vietu.,Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-375/2013,active
IT_PROCUREMENT,ProtectedInfoType,Iepirkuma dokumenti/projekti,"Iepirkuma nolikuma projekti vai sagatavošanā esoša iepirkuma dokumentācija, ja tai noteikts aizsargāts režīms.",Korpuss + Senāta apkopojuma lietu saraksts,Palīdz ātri klasificēt lietu pēc informācijas priekšmeta un atrast analoģiju.,SKK-175/2026,active
EV_DUTY_DOCS,EvidenceType,Amata dokumenti un brīdinājumi,"Amata apraksti, apliecinājumi, DVS uzdevums “iepazīties”, IS lietošanas noteikumi, iekšējie rīkojumi.",Korpuss + Senāta apkopojums,"Pierāda subjektu, informētību un atbildību par ziņu glabāšanu.",,active
EV_LEGAL_REGIME,EvidenceType,Informācijas režīma dokumenti,"IAL, speciālie likumi, iestādes ierobežotas pieejamības saraksti, DVS pierādījumi par iepazīšanos.",Korpuss + Senāta apkopojums,"Pierāda, ka konkrētajai ziņai ir neizpaužamas informācijas režīms.",,active
EV_SYSTEM_LOGS,EvidenceType,IS auditācijas dati un piekļuves vēsture,"Sistēmu lietotāju darbību žurnāli, pieslēgumi, “skatīts” ieraksti, saraksta/ieraksta logu analīze.",Korpuss + Senāta apkopojums,"Pierāda piekļuvi vai palīdz izskaidrot, kāpēc piekļuve neparādās žurnālā.",,active
EV_SYSTEM_FUNCTION,EvidenceType,IS funkcionalitātes demonstrācija,"Sistēmas ekrānattēli, saraksta logi, speciālista liecības par to, kāda informācija redzama un kas netiek auditēts.",Korpuss + Senāta apkopojums,"Ļoti noder, ja tieša auditācijas ieraksta nav, bet izpaustās ziņas sakrīt ar sistēmas attēlojumu.",,active
EV_PHONE_CALLS,EvidenceType,Telefonsarunas,"Telefonsarunu ieraksti, zvanu izdrukas, sarunu saturs, sarunu laika sakritība.",Korpuss + Senāta apkopojums,"Bieži pierāda pieprasījumu, iegūšanu, izpaušanu un nodomu.",,active
EV_SMS_CHAT,EvidenceType,SMS/čati,"SMS, WhatsApp, Signal, Messenger, failu apmaiņa, ekrānattēli, čatu eksports.",Korpuss + Senāta apkopojums,Pierāda izpaustās informācijas tekstu vai nodošanas kanālu.,,active
EV_EMAIL,EvidenceType,E-pasts,"Darba vai privātā e-pasta vēstules, pielikumi, dokumentu projekti.",Korpuss + Senāta apkopojums,Pierāda dokumentu nodošanu un adresātu.,,active
EV_DEVICE_FORENSICS,EvidenceType,Ierīču digitālā ekspertīze,"MSAB XRY/Cellebrite loģiskās kopijas, telefonu apskates, ārējie diski, metadati.",Korpuss + Senāta apkopojums,"Pierāda komunikāciju, failus, kontaktus un izmeklēšanas ķēdi.",,active
EV_WITNESSES,EvidenceType,Liecinieku liecības,"Adresātu, kolēģu, IT speciālistu, personāla un izmeklētāju liecības.",Korpuss + Senāta apkopojums,"Svarīgas gan izpaušanas faktam, gan IS funkcionalitātei un informācijas režīmam.",,active
EV_VIDEO,EvidenceType,Video/foto fiksācija,"Videonovērošanas ieraksti, telefonu ekrāna foto, fototabulas, apskates foto.",Korpuss + Senāta apkopojums,"Atbalsta darbību laika, vietas un fizisku priekšmetu pierādīšanu.",,active
EV_OPERATIVE,EvidenceType,Operatīvi iegūtas ziņas,"Operatīvā noklausīšanās, sevišķā veidā veikti ODP, tiesneša akcepts, KPL 127. panta ziņas.",Korpuss + Senāta apkopojums,"Spēcīgs pierādījums, bet aizstāvībai jāpārbauda samērīgums un pieļaujamība.",,active
DA_NOT_PROTECTED,DefenseArgument,"Nav pierādīts, ka ziņas bija neizpaužamas","Prasīt precīzu ziņu režīmu, izplatīšanas aizliegumu, izmantošanas kārtību un to attiecināmību uz konkrēto ziņu kombināciju.",Korpuss + Senāta apkopojums,Praktiskā vērtība: mixed.,,active
DA_NO_DISCLOSURE,DefenseArgument,"Nav izpaušanas, tikai piekļuve/apskate","Prasīt pierādījumus, ka ziņas nonāca pie konkrēta adresāta, nevis tikai tika skatītas sistēmā.",Korpuss + Senāta apkopojums,Praktiskā vērtība: mixed.,,active
DA_LAWFUL_DUTY,DefenseArgument,Rīcība veikta amata pienākumu vai konkrēta darba uzdevuma ietvaros,"Pierādīt tiesisku pamatu: administratīvā lieta, darba uzdevums, tiesisks informācijas aprites kanāls.",Korpuss + Senāta apkopojums,Praktiskā vērtība: mixed.,,active
DA_PUBLIC_INFO,DefenseArgument,Informācija bija publiski pieejama vai adresātam jau zināma,"Jāpierāda precīza publiskā pieejamība izpaušanas brīdī un tas, ka amatpersona neizmantoja dienesta resursu.",Korpuss + Senāta apkopojums,Praktiskā vērtība: usually_rejected.,,active
DA_RECIPIENT_RIGHT,DefenseArgument,Adresātam pašam bija tiesības iegūt informāciju,"Senāts prasa vērtēt izmantošanas kārtību, ne tikai teorētisku tiesību iegūt informāciju.",Korpuss + Senāta apkopojums,Praktiskā vērtība: usually_rejected.,,active
DA_NO_INTENT,DefenseArgument,Nav tieša nodoma,"Balstīt uz neskaidriem noteikumiem, kļūdu par tiesisko pamatu, apmācības trūkumu, neskaidru uzdevumu.",Korpuss + Senāta apkopojums,Praktiskā vērtība: mixed.,,active
DA_EVIDENCE_INADMISSIBLE,DefenseArgument,Pierādījumi nepieļaujami,"Uzbrukt ODP, telefonu spoguļkopiju, kratīšanas/apskates protokolu, datu ķēdes, tiesneša akcepta un samērīguma jautājumiem.",Korpuss + Senāta apkopojums,Praktiskā vērtība: often_effective_if_specific.,,active
DA_318_COMPETITION,DefenseArgument,Nepareiza kumulatīva kvalifikācija ar KL 318,"Ja viena darbība kvalificēta gan pēc 318., gan 329. panta, vērtēt normu konkurenci.",Korpuss + Senāta apkopojums,Praktiskā vērtība: effective.,,active
DA_UNMOTIVATED_APPEAL,DefenseArgument,Apelācija nav izvērtējusi būtiskus argumentus,Norādīt uz KPL 564. panta prasībām par motivāciju un aizstāvības argumentu izvērtēšanu.,Korpuss + Senāta apkopojums,Praktiskā vērtība: effective.,,active
DA_INSTIGATION_ONLY_REQUEST,DefenseArgument,Nav uzkūdīšanas – tikai vispārīgs jautājums/interese,"Jāanalizē, vai lūgums bija konkrēts, vai lūdzējs zināja par dienesta resursu, vai nodeva identificējošus datus.",Korpuss + Senāta apkopojums,Praktiskā vērtība: mixed.,,active
ORG_VID,Institution,VID / nodokļu administrācija,"Nodokļu informācijas sistēmas, EDS, nodokļu maksātāju dati, iekšējās drošības pārbaudes.",Korpuss,Lietu filtrēšana pēc iestādes un informācijas sistēmu režīma.,,active
ORG_POLICE,Institution,Valsts policija / Iekšlietu sistēma,"Personu dati, Sodu reģistrs, operatīvās darbības, kriminālprocesa ziņas.",Korpuss,Lietu filtrēšana pēc iestādes un informācijas sistēmu režīma.,,active
ORG_PROSECUTION,Institution,Prokuratūra,"Kriminālprocesa ziņas, aizturēšana, augstāka prokurora funkcijas, īpaši pilnvaroti prokurori.",Korpuss,Lietu filtrēšana pēc iestādes un informācijas sistēmu režīma.,,active
ORG_COURTS,Institution,Tiesas / Tiesu administrācija,"TIS, nepublicēti vai neanonimizēti tiesu nolēmumi, lietu materiāli.",Korpuss,Lietu filtrēšana pēc iestādes un informācijas sistēmu režīma.,,active
ORG_BORDER,Institution,Valsts robežsardze / muita,"Robežkontroles uzdevumi, pasažieru dati, izceļošana, vilciena pārbaude.",Korpuss,Lietu filtrēšana pēc iestādes un informācijas sistēmu režīma.,,active
ORG_CSDD,Institution,CSDD / transportlīdzekļu datubāzes,"Transportlīdzekļa īpašnieki, tehniskās apskates uzrādītāji.",Korpuss,Lietu filtrēšana pēc iestādes un informācijas sistēmu režīma.,,active
ORG_PROCUREMENT,Institution,Pasūtītāji iepirkumos,Iepirkuma dokumentu projekti un sagatavošanas informācija.,Korpuss,Lietu filtrēšana pēc iestādes un informācijas sistēmu režīma.,,active
SRC_TIS,InformationSource,TIS,"Tiesu informācijas sistēma: tiesu nolēmumi, lietu dati, sodāmības informācija atsevišķos kontekstos.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_SODU,InformationSource,Sodu reģistrs / IeM IC,"Ziņas par sodāmību, aizturēšanu, meklēšanu, drošības līdzekļiem.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_PMLP,InformationSource,PMLP Personu datu pārlūks,"Iedzīvotāju reģistra/personas dati, laulības un citi privātās dzīves dati.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_VID_IS,InformationSource,VID/NIS/EDS/Sistēma A,"Nodokļu maksātāju dati, saraksta logi, īpašumu/nodokļu informācija.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_CSDD,InformationSource,CSDD IS,Transportlīdzekļa un īpašnieka dati.,Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_DVS,InformationSource,DVS/Koplietošanas krātuve,"Iepazīšanās ar rīkojumiem, ierobežotas pieejamības saraksti, amata dokumenti.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_EMAIL,InformationSource,E-pasts,"Darba/privātais e-pasts, pielikumi, dokumentu projekti.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_PHONE,InformationSource,Telefons,"Zvani, SMS, kontaktu nosaukumi un zvanu metadati.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_WHATSAPP,InformationSource,WhatsApp,"Sarakstes, faili, ziņas un komunikācijas metadati ierīcē.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_SIGNAL,InformationSource,Signal,"Šifrēta saziņa; saturs parasti pieejams no ierīces, nevis operatora.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_MESSENGER,InformationSource,Messenger,Fotogrāfiju vai dokumentu nosūtīšana.,Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
SRC_LURSOFT,InformationSource,Lursoft/publiskie avoti,"Publiski vai maksas reģistri; svarīgi pārbaudīt, vai precīzā ziņu kombinācija bija publiski iegūstama.",Korpuss,Izmanto tehniskajā un juridiskajā kartēšanā.,,active
